Descritpion_ID,Top_20_Image_IDs
0.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
1.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
2.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
3.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
4.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
5.txt,710.jpg 1946.jpg 1467.jpg 327.jpg 1947.jpg 1829.jpg 1666.jpg 1604.jpg 1104.jpg 283.jpg 404.jpg 1766.jpg 679.jpg 195.jpg 982.jpg 241.jpg 551.jpg 343.jpg 1013.jpg 873.jpg
6.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
7.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
8.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
9.txt,404.jpg 1946.jpg 664.jpg 241.jpg 1425.jpg 1467.jpg 362.jpg 581.jpg 300.jpg 710.jpg 403.jpg 327.jpg 382.jpg 420.jpg 1604.jpg 982.jpg 1104.jpg 1747.jpg 844.jpg 1834.jpg
10.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
11.txt,410.jpg 1457.jpg 624.jpg 1491.jpg 1220.jpg 273.jpg 1469.jpg 1711.jpg 1123.jpg 134.jpg 1305.jpg 907.jpg 1905.jpg 418.jpg 1875.jpg 1251.jpg 1.jpg 987.jpg 954.jpg 1877.jpg
12.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
13.txt,912.jpg 216.jpg 68.jpg 988.jpg 1384.jpg 991.jpg 1163.jpg 674.jpg 312.jpg 352.jpg 849.jpg 473.jpg 46.jpg 1243.jpg 1619.jpg 132.jpg 1182.jpg 1161.jpg 633.jpg 395.jpg
14.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
15.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
16.txt,1670.jpg 1762.jpg 1728.jpg 18.jpg 1456.jpg 1638.jpg 295.jpg 1304.jpg 672.jpg 62.jpg 1178.jpg 1137.jpg 386.jpg 863.jpg 32.jpg 1271.jpg 1827.jpg 1975.jpg 612.jpg 9.jpg
17.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
18.txt,1307.jpg 81.jpg 921.jpg 744.jpg 1926.jpg 964.jpg 1434.jpg 620.jpg 734.jpg 70.jpg 155.jpg 69.jpg 52.jpg 914.jpg 346.jpg 1974.jpg 1339.jpg 951.jpg 522.jpg 584.jpg
19.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
20.txt,1422.jpg 1349.jpg 1964.jpg 396.jpg 1058.jpg 1019.jpg 499.jpg 780.jpg 1554.jpg 827.jpg 291.jpg 578.jpg 733.jpg 1356.jpg 278.jpg 318.jpg 1994.jpg 324.jpg 1294.jpg 129.jpg
21.txt,20.jpg 670.jpg 358.jpg 1776.jpg 1571.jpg 1312.jpg 1774.jpg 77.jpg 1400.jpg 267.jpg 389.jpg 1258.jpg 52.jpg 1127.jpg 1850.jpg 656.jpg 451.jpg 1786.jpg 45.jpg 1913.jpg
22.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
23.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
24.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
25.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
26.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
27.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
28.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
29.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
30.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
31.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
32.txt,68.jpg 912.jpg 305.jpg 785.jpg 633.jpg 1088.jpg 849.jpg 1031.jpg 216.jpg 46.jpg 991.jpg 1243.jpg 629.jpg 167.jpg 808.jpg 1231.jpg 1570.jpg 153.jpg 1618.jpg 1402.jpg
